config_id,framework,backend,label,case_id,concurrency,prompt_tokens,max_tokens,batch_index,request_index,elapsed_ms,completion_tokens,total_tokens,tok_per_s,status,error
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c1_limit_8k,1,7395,512,1,1,9735,512,7907,52.5937,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c1_limit_8k,1,7395,512,2,1,9738,512,7907,52.5775,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c1_limit_8k,1,7395,512,3,1,9738,512,7907,52.5775,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c1_limit_8k,1,7395,512,4,1,9739,512,7907,52.5721,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c1_limit_8k,1,7395,512,5,1,9741,512,7907,52.5613,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,1,1,11345,512,7907,45.1300,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,1,2,11374,512,7907,45.0149,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,2,1,11348,512,7907,45.1181,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,2,2,11376,512,7907,45.0070,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,3,1,11347,512,7907,45.1221,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,3,2,11375,512,7907,45.0110,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,4,1,11349,512,7907,45.1141,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,4,2,11377,512,7907,45.0031,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,5,1,11377,512,7907,45.0031,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c2_4k_each,2,7395,512,5,2,11348,512,7907,45.1181,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c4_2k_each,4,4323,512,1,1,11995,512,4835,42.6845,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c4_2k_each,4,4323,512,1,2,12012,512,4835,42.6240,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c4_2k_each,4,4323,512,1,3,12041,512,4835,42.5214,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c4_2k_each,4,4323,512,1,4,12029,512,4835,42.5638,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c4_2k_each,4,4323,512,2,1,11999,512,4835,42.6702,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c4_2k_each,4,4323,512,2,2,12017,512,4835,42.6063,ok,
