config_id,label,quantization,mtp,num_speculative_tokens,workload,max_tokens,run_index,elapsed_ms,completion_tokens,tok_per_s,status
Base-FP16,FP16 baseline,fp16,no,0,medium,256,1,2205,256,116.0998,ok
Base-FP16,FP16 baseline,fp16,no,0,medium,256,2,2219,256,115.3673,ok
Base-FP16,FP16 baseline,fp16,no,0,medium,256,3,2216,256,115.5235,ok
Base-FP16,FP16 baseline,fp16,no,0,medium,256,4,2232,256,114.6953,ok
Base-FP16,FP16 baseline,fp16,no,0,medium,256,5,2219,256,115.3673,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,1,4403,512,116.2844,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,2,4408,512,116.1525,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,3,4427,512,115.6539,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,4,4422,512,115.7847,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,5,4415,512,115.9683,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,1,2026,256,126.3574,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,2,2020,256,126.7327,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,3,2025,256,126.4198,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,4,2034,256,125.8604,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,5,2024,256,126.4822,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,1,3833,512,133.5768,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,2,3835,512,133.5072,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,3,3836,512,133.4724,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,4,3857,512,132.7457,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,5,3850,512,132.9870,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,1,2134,256,119.9625,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,2,2139,256,119.6821,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,3,2141,256,119.5703,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,4,2146,256,119.2917,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,5,2135,256,119.9063,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,1,4243,512,120.6693,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,2,4247,512,120.5557,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,3,4244,512,120.6409,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,4,4261,512,120.1596,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,5,4271,512,119.8782,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,1,2716,256,94.2563,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,2,2726,256,93.9105,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,3,2709,256,94.4998,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,4,2729,256,93.8073,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,5,2716,256,94.2563,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,1,5619,512,91.1194,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,2,5623,512,91.0546,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,3,5618,512,91.1356,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,4,5617,512,91.1519,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,5,5622,512,91.0708,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,1,1563,256,163.7876,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,2,1584,256,161.6162,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,3,1581,256,161.9228,ok
