config_id,label,quantization,mtp,num_speculative_tokens,workload,max_tokens,batched_tokens,status,median_elapsed_ms,median_tok_per_s,draft_tokens,accepted_tokens,acceptance_rate,startup_seconds,notes
Base-FP16,FP16 baseline,fp16,no,0,medium,256,4096,ok,2219.0000,115.3673,,,,150,
Base-FP16,FP16 baseline,fp16,no,0,long,512,4096,ok,4415.0000,115.9683,,,,150,
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,4096,ok,2025.0000,126.4198,840,435,0.5179,165,
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,4096,ok,3836.0000,133.4724,1595,960,0.6019,165,
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,4096,ok,2139.0000,119.6821,1845,665,0.3604,160,
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,4096,ok,4247.0000,120.5557,3705,1320,0.3563,160,
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,4096,ok,2716.0000,94.2563,3025,675,0.2231,160,
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,4096,ok,5619.0000,91.1194,6300,1305,0.2071,160,
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,4096,ok,1581.0000,161.9228,,,,145,
Base-AWQ4,AWQ4 baseline,awq4,no,0,long,512,4096,ok,3121.0000,164.0500,,,,145,
MTP-AWQ4-n1,AWQ4 MTP n=1,awq4,yes,1,medium,256,4096,ok,1420.0000,180.2817,760,515,0.6776,160,
MTP-AWQ4-n1,AWQ4 MTP n=1,awq4,yes,1,long,512,4096,ok,2961.0000,172.9146,1595,960,0.6019,160,
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,medium,256,4096,ok,1695.0000,151.0324,1755,690,0.3932,160,
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,4096,ok,3643.0000,140.5435,3795,1290,0.3399,160,
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,4096,ok,2193.0000,116.7351,2800,715,0.2554,160,
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,4096,ok,4725.0000,108.3598,6050,1345,0.2223,160,
Base-FP8,FP8 baseline,fp8,no,0,medium,256,4096,ok,2093.0000,122.3125,,,,155,
Base-FP8,FP8 baseline,fp8,no,0,long,512,4096,ok,4133.0000,123.8810,,,,155,
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,4096,ok,1789.0000,143.0967,815,465,0.5706,170,
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,4096,ok,3475.0000,147.3381,1600,955,0.5969,170,
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,4096,ok,2273.0000,112.6265,2145,560,0.2611,170,
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,4096,ok,3905.0000,131.1140,3690,1335,0.3618,170,
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,4096,ok,2893.0000,88.4895,3450,585,0.1696,165,
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,4096,ok,5112.0000,100.1565,6100,1355,0.2221,165,
