engine,model,workload,max_tokens,run_index,total_duration_ns,load_duration_ns,prompt_eval_count,prompt_eval_duration_ns,eval_count,eval_duration_ns,total_tok_per_s,eval_tok_per_s,status
ollama,qwen35-2b-bench,medium,256,1,1868538182,134176020,97,20157942,256,1638231188,137.0055,156.2661,ok
ollama,qwen35-2b-bench,medium,256,2,1882876975,142850802,97,22300258,256,1641701609,135.9621,155.9358,ok
ollama,qwen35-2b-bench,medium,256,3,1873040397,132664579,97,21163030,256,1643582650,136.6762,155.7573,ok
ollama,qwen35-2b-bench,medium,256,4,1860255993,122971417,97,21376806,256,1641915381,137.6155,155.9155,ok
ollama,qwen35-2b-bench,medium,256,5,1871063166,127142229,97,23092024,256,1643442381,136.8206,155.7706,ok
ollama,qwen35-2b-bench,long,512,1,3586168016,124189108,123,21816602,512,3290259221,142.7708,155.6108,ok
ollama,qwen35-2b-bench,long,512,2,3594646337,128535763,123,26327439,512,3287557596,142.4340,155.7387,ok
ollama,qwen35-2b-bench,long,512,3,3563852243,117428697,123,21849734,512,3275758706,143.6648,156.2997,ok
ollama,qwen35-2b-bench,long,512,4,3611601277,153935376,123,22317162,512,3284298001,141.7654,155.8933,ok
ollama,qwen35-2b-bench,long,512,5,3578081032,123112589,123,21031992,512,3281138339,143.0935,156.0434,ok
