config_id,label,quantization,spec_method,num_speculative_tokens,workload,max_tokens,run_index,elapsed_ms,completion_tokens,tok_per_s,status
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,medium,256,1,3294,256,77.7171,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,medium,256,2,3292,256,77.7643,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,medium,256,3,3307,256,77.4116,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,medium,256,4,3291,256,77.7879,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,medium,256,5,3292,256,77.7643,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,long,512,1,6078,512,84.2382,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,long,512,2,6094,512,84.0171,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,long,512,3,6099,512,83.9482,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,long,512,4,6099,512,83.9482,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,mtp,3,long,512,5,6102,512,83.9069,ok
