config_id,label,quantization,mtp,num_speculative_tokens,workload,max_tokens,run_index,elapsed_ms,completion_tokens,tok_per_s,status
Base-FP16,FP16 baseline,fp16,no,0,medium,256,1,2206,256,116.0471,ok
Base-FP16,FP16 baseline,fp16,no,0,medium,256,2,2223,256,115.1597,ok
Base-FP16,FP16 baseline,fp16,no,0,medium,256,3,2222,256,115.2115,ok
Base-FP16,FP16 baseline,fp16,no,0,medium,256,4,2225,256,115.0562,ok
Base-FP16,FP16 baseline,fp16,no,0,medium,256,5,2224,256,115.1079,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,1,4405,512,116.2316,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,2,4412,512,116.0471,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,3,4411,512,116.0735,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,4,4420,512,115.8371,ok
Base-FP16,FP16 baseline,fp16,no,0,long,512,5,4428,512,115.6278,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,1,1930,256,132.6425,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,2,1951,256,131.2148,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,3,1941,256,131.8908,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,4,1940,256,131.9588,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,5,1930,256,132.6425,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,1,3690,512,138.7534,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,2,3719,512,137.6714,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,3,3706,512,138.1543,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,4,3710,512,138.0054,ok
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,5,3710,512,138.0054,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,1,2113,256,121.1548,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,2,2107,256,121.4998,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,3,2106,256,121.5575,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,4,2110,256,121.3270,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,5,2110,256,121.3270,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,1,3527,512,145.1659,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,2,3528,512,145.1247,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,3,3528,512,145.1247,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,4,3538,512,144.7145,ok
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,5,3541,512,144.5919,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,1,2729,256,93.8073,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,2,2739,256,93.4648,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,3,2726,256,93.9105,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,4,2736,256,93.5673,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,5,2726,256,93.9105,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,1,4747,512,107.8576,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,2,4747,512,107.8576,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,3,4751,512,107.7668,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,4,4759,512,107.5856,ok
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,5,4753,512,107.7214,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,1,1568,256,163.2653,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,2,1577,256,162.3335,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,3,1569,256,163.1612,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,4,1574,256,162.6429,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,5,1585,256,161.5142,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,long,512,1,3105,512,164.8953,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,long,512,2,3124,512,163.8924,ok
Base-AWQ4,AWQ4 baseline,awq4,no,0,long,512,3,3128,512,163.6829,ok
