config_id,label,quantization,mtp,num_speculative_tokens,workload,max_tokens,batched_tokens,status,median_elapsed_ms,median_tok_per_s,draft_tokens,accepted_tokens,acceptance_rate,startup_seconds,notes
Base-FP16,FP16 baseline,fp16,no,0,medium,256,4096,ok,2223.0000,115.1597,,,,150,
Base-FP16,FP16 baseline,fp16,no,0,long,512,4096,ok,4412.0000,116.0471,,,,150,
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,medium,256,4096,ok,1940.0000,131.9588,800,475,0.5938,160,
MTP-FP16-n1,FP16 MTP n=1,fp16,yes,1,long,512,4096,ok,3710.0000,138.0054,1535,1025,0.6678,160,
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,medium,256,4096,ok,2110.0000,121.3270,1830,665,0.3634,160,
MTP-FP16-n3,FP16 MTP n=3,fp16,yes,3,long,512,4096,ok,3528.0000,145.1247,3075,1530,0.4976,160,
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,medium,256,4096,ok,2729.0000,93.8073,3050,665,0.2180,160,
MTP-FP16-n5,FP16 MTP n=5,fp16,yes,5,long,512,4096,ok,4751.0000,107.7668,5325,1490,0.2798,160,
Base-AWQ4,AWQ4 baseline,awq4,no,0,medium,256,4096,ok,1574.0000,162.6429,,,,145,
Base-AWQ4,AWQ4 baseline,awq4,no,0,long,512,4096,ok,3124.0000,163.8924,,,,145,
MTP-AWQ4-n1,AWQ4 MTP n=1,awq4,yes,1,medium,256,4096,ok,1414.0000,181.0467,760,515,0.6776,160,
MTP-AWQ4-n1,AWQ4 MTP n=1,awq4,yes,1,long,512,4096,ok,2817.0000,181.7536,1520,1035,0.6809,160,
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,medium,256,4096,ok,1873.0000,136.6791,1935,635,0.3282,160,
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,4096,ok,3102.0000,165.0548,3225,1480,0.4589,160,
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,4096,ok,2311.0000,110.7746,2950,695,0.2356,160,
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,4096,ok,3911.0000,130.9128,5000,1565,0.3130,160,
Base-FP8,FP8 baseline,fp8,no,0,medium,256,4096,ok,2068.0000,123.7911,,,,155,
Base-FP8,FP8 baseline,fp8,no,0,long,512,4096,ok,4117.0000,124.3624,,,,155,
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,4096,ok,1716.0000,149.1841,785,495,0.6306,170,
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,4096,ok,3291.0000,155.5758,1520,1040,0.6842,170,
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,4096,ok,1971.0000,129.8833,1845,660,0.3577,170,
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,4096,ok,3428.0000,149.3582,3240,1475,0.4552,170,
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,4096,ok,2575.0000,99.4175,3050,665,0.2180,165,
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,4096,ok,4579.0000,111.8148,5475,1465,0.2676,165,
