suite,config_id,label,workload,max_tokens,median_tok_per_s,acceptance_rate,status,source,notes
2b-mtp,Base-FP16,FP16 baseline,medium,256,115.1597,,ok,mtp/summary.csv,
2b-mtp,Base-FP16,FP16 baseline,long,512,116.0471,,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n1,FP16 MTP n=1,medium,256,131.9588,0.5938,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n1,FP16 MTP n=1,long,512,138.0054,0.6678,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n3,FP16 MTP n=3,medium,256,121.3270,0.3634,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n3,FP16 MTP n=3,long,512,145.1247,0.4976,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n5,FP16 MTP n=5,medium,256,93.8073,0.2180,ok,mtp/summary.csv,
2b-mtp,MTP-FP16-n5,FP16 MTP n=5,long,512,107.7668,0.2798,ok,mtp/summary.csv,
2b-mtp,Base-AWQ4,AWQ4 baseline,medium,256,162.6429,,ok,mtp/summary.csv,
2b-mtp,Base-AWQ4,AWQ4 baseline,long,512,163.8924,,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n1,AWQ4 MTP n=1,medium,256,181.0467,0.6776,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n1,AWQ4 MTP n=1,long,512,181.7536,0.6809,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n3,AWQ4 MTP n=3,medium,256,136.6791,0.3282,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n3,AWQ4 MTP n=3,long,512,165.0548,0.4589,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n5,AWQ4 MTP n=5,medium,256,110.7746,0.2356,ok,mtp/summary.csv,
2b-mtp,MTP-AWQ4-n5,AWQ4 MTP n=5,long,512,130.9128,0.3130,ok,mtp/summary.csv,
2b-mtp,Base-FP8,FP8 baseline,medium,256,123.7911,,ok,mtp/summary.csv,
2b-mtp,Base-FP8,FP8 baseline,long,512,124.3624,,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n1,FP8 MTP n=1,medium,256,149.1841,0.6306,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n1,FP8 MTP n=1,long,512,155.5758,0.6842,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n3,FP8 MTP n=3,medium,256,129.8833,0.3577,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n3,FP8 MTP n=3,long,512,149.3582,0.4552,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n5,FP8 MTP n=5,medium,256,99.4175,0.2180,ok,mtp/summary.csv,
2b-mtp,MTP-FP8-n5,FP8 MTP n=5,long,512,111.8148,0.2676,ok,mtp/summary.csv,
4b-dflash,Base-FP8,FP8 baseline,medium,256,59.9251,,ok,d-flash/summary.csv,
4b-dflash,Base-FP8,FP8 baseline,long,512,60.1433,,ok,d-flash/summary.csv,
4b-dflash,DFlash-FP8-n15,FP8 D-Flash n=15,medium,256,80.3515,0.0704,ok,d-flash/summary.csv,
4b-dflash,DFlash-FP8-n15,FP8 D-Flash n=15,long,512,94.0831,0.0951,ok,d-flash/summary.csv,
4b-mtp,MTP-FP8-n3,FP8 MTP n=3,medium,256,77.7643,0.4087,ok,d-flash/mtp_summary.csv,
4b-mtp,MTP-FP8-n3,FP8 MTP n=3,long,512,83.9482,0.4642,ok,d-flash/mtp_summary.csv,
ollama,qwen35-2b-bench,qwen35-2b-bench,medium,256,158.3969,,ok,ollama/summary.csv,
ollama,qwen35-2b-bench,qwen35-2b-bench,long,512,158.0618,,ok,ollama/summary.csv,
