config_id,label,kv_cache_dtype,max_model_len,workload,max_tokens,run_index,elapsed_ms,completion_tokens,tok_per_s,status
base_fa,base_fa,auto,2048,medium,256,1,4255,256,60.1645,ok
base_fa,base_fa,auto,2048,medium,256,2,4254,256,60.1787,ok
base_fa,base_fa,auto,2048,medium,256,3,4253,256,60.1928,ok
base_fa,base_fa,auto,2048,medium,256,4,4255,256,60.1645,ok
base_fa,base_fa,auto,2048,medium,256,5,4254,256,60.1787,ok
base_fa,base_fa,auto,2048,long,512,1,8492,512,60.2920,ok
base_fa,base_fa,auto,2048,long,512,2,8491,512,60.2991,ok
base_fa,base_fa,auto,2048,long,512,3,8491,512,60.2991,ok
base_fa,base_fa,auto,2048,long,512,4,8491,512,60.2991,ok
base_fa,base_fa,auto,2048,long,512,5,8492,512,60.2920,ok
base_fa,base_fa,auto,2048,ctx_long,256,1,4388,256,58.3409,ok
base_fa,base_fa,auto,2048,ctx_long,256,2,4371,256,58.5678,ok
base_fa,base_fa,auto,2048,ctx_long,256,3,4371,256,58.5678,ok
base_fa,base_fa,auto,2048,ctx_long,256,4,4371,256,58.5678,ok
base_fa,base_fa,auto,2048,ctx_long,256,5,4369,256,58.5946,ok
base_fi,base_fi,auto,2048,medium,256,1,4248,256,60.2637,ok
base_fi,base_fi,auto,2048,medium,256,2,4245,256,60.3062,ok
base_fi,base_fi,auto,2048,medium,256,3,4248,256,60.2637,ok
base_fi,base_fi,auto,2048,medium,256,4,4247,256,60.2778,ok
base_fi,base_fi,auto,2048,medium,256,5,4249,256,60.2495,ok
base_fi,base_fi,auto,2048,long,512,1,8480,512,60.3774,ok
base_fi,base_fi,auto,2048,long,512,2,8478,512,60.3916,ok
base_fi,base_fi,auto,2048,long,512,3,8478,512,60.3916,ok
base_fi,base_fi,auto,2048,long,512,4,8478,512,60.3916,ok
base_fi,base_fi,auto,2048,long,512,5,8477,512,60.3987,ok
base_fi,base_fi,auto,2048,ctx_long,256,1,4376,256,58.5009,ok
base_fi,base_fi,auto,2048,ctx_long,256,2,4361,256,58.7021,ok
base_fi,base_fi,auto,2048,ctx_long,256,3,4362,256,58.6887,ok
base_fi,base_fi,auto,2048,ctx_long,256,4,4362,256,58.6887,ok
base_fi,base_fi,auto,2048,ctx_long,256,5,4361,256,58.7021,ok
base_fi_8k,base_fi_8k,auto,8192,medium,256,1,4254,256,60.1787,ok
base_fi_8k,base_fi_8k,auto,8192,medium,256,2,4255,256,60.1645,ok
base_fi_8k,base_fi_8k,auto,8192,medium,256,3,4256,256,60.1504,ok
base_fi_8k,base_fi_8k,auto,8192,medium,256,4,4254,256,60.1787,ok
base_fi_8k,base_fi_8k,auto,8192,medium,256,5,4256,256,60.1504,ok
base_fi_8k,base_fi_8k,auto,8192,long,512,1,8493,512,60.2849,ok
base_fi_8k,base_fi_8k,auto,8192,long,512,2,8494,512,60.2778,ok
base_fi_8k,base_fi_8k,auto,8192,long,512,3,8492,512,60.2920,ok
base_fi_8k,base_fi_8k,auto,8192,long,512,4,8492,512,60.2920,ok
base_fi_8k,base_fi_8k,auto,8192,long,512,5,8497,512,60.2566,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_long,256,1,4381,256,58.4341,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_long,256,2,4364,256,58.6618,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_long,256,3,4363,256,58.6752,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_long,256,4,4365,256,58.6483,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_long,256,5,4363,256,58.6752,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_8k,256,1,2871,126,43.8871,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_8k,256,2,2880,126,43.7500,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_8k,256,3,2882,126,43.7196,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_8k,256,4,2882,126,43.7196,ok
base_fi_8k,base_fi_8k,auto,8192,ctx_8k,256,5,2881,126,43.7348,ok
base_fi_32k,base_fi_32k,auto,32768,medium,256,1,4264,256,60.0375,ok
base_fi_32k,base_fi_32k,auto,32768,medium,256,2,4258,256,60.1221,ok
base_fi_32k,base_fi_32k,auto,32768,medium,256,3,4263,256,60.0516,ok
base_fi_32k,base_fi_32k,auto,32768,medium,256,4,4263,256,60.0516,ok
base_fi_32k,base_fi_32k,auto,32768,medium,256,5,4262,256,60.0657,ok
base_fi_32k,base_fi_32k,auto,32768,long,512,1,8508,512,60.1787,ok
base_fi_32k,base_fi_32k,auto,32768,long,512,2,8504,512,60.2070,ok
base_fi_32k,base_fi_32k,auto,32768,long,512,3,8504,512,60.2070,ok
base_fi_32k,base_fi_32k,auto,32768,long,512,4,8505,512,60.1999,ok
base_fi_32k,base_fi_32k,auto,32768,long,512,5,8505,512,60.1999,ok
base_fi_32k,base_fi_32k,auto,32768,ctx_long,256,1,4389,256,58.3276,ok
base_fi_32k,base_fi_32k,auto,32768,ctx_long,256,2,4372,256,58.5544,ok
